ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,km_per_driving_day,percent_sessions_in_last_month,professional_driver,total_sessions_per_day,km_per_hour,km_per_drive,percent_of_drives_to_favorite,device2,label2.
0,retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,138.3602667368421,0.9536702513357744,1,0.13038149072934974,79.43029760912079,11.63205782300885,0.7009307854340674,0,0
1,retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone,1246.9018681818181,0.4068564847295893,0,0.26685436424489795,260.38990220562926,128.186173364486,0.25390291904177376,1,0
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,382.39360225,0.8411860864607084,0,0.05112143579781214,113.95345979696994,32.20156650526316,0.0,0,0
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,304.53037436666665,0.7249676661350888,0,4.505948084666667,93.35114129128277,22.8397780775,4.867640044049882,1,0
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,219.45566711111113,0.4992659005198037,1,0.1077125608834827,194.3429701055677,58.091206,1.0163627260581718,0,0
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,81.93079077272728,0.40422911323658806,0,0.10600850864618887,123.14768807956149,8.74989027669903,0.0,1,0
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,228.22490556521737,0.012672915907360109,0,0.6575703172222223,433.4713057919858,2624.586414,0.857533976398034,1,0
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,394.60262339999997,0.2214992328237764,0,0.058710518372790926,191.9443262227209,225.48721337142857,0.0,1,0
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,132.58548820000001,0.3105725132558165,0,0.43285853231132077,99.79194404006611,57.64586443478261,0.1416646551693198,0,0
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,2014.4867649999999,0.3431342906029503,0,0.08168238732065398,154.83886415075665,88.87441610294117,0.29411510623110027,1,1
10,retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone,950.5460488888889,0.19620258947512206,0,0.060239348355601234,95.89694016986674,427.745722,0.3070997052654085,1,0
